activity_ts,activity_type,active_Kcal,step_count,distance_m,duration_s,active_time_s,start_time_s,start_time_offset_s,met,intensity,motion_intensity_mean,motion_intensity_max
13/10/2023 19:15,SEDENTARY,0,0,0,900,720,1697220900,3600,1,SEDENTARY,0,6
13/10/2023 19:30,SEDENTARY,0,0,0.02,900,900,1697221800,3600,1,SEDENTARY,0,4
13/10/2023 19:45,SEDENTARY,0,0,0,900,900,1697222700,3600,1,SEDENTARY,0,4
13/10/2023 20:00,WALKING,1,11,7.93,900,15,1697223600,3600,4.5207825,ACTIVE,3,3
13/10/2023 20:00,SEDENTARY,0,0,0,900,885,1697223600,3600,1,SEDENTARY,0,4
13/10/2023 20:15,SEDENTARY,0,0,0,900,900,1697224500,3600,1,SEDENTARY,0,4
13/10/2023 20:30,SEDENTARY,0,0,0,900,900,1697225400,3600,1,SEDENTARY,0,4
13/10/2023 20:45,SEDENTARY,0,0,0,900,900,1697226300,3600,1,SEDENTARY,0,3
13/10/2023 21:00,SEDENTARY,0,0,0,900,900,1697227200,3600,1,SEDENTARY,0,3
13/10/2023 21:15,WALKING,11,164,118.23,900,420,1697228100,3600,2.3831644,ACTIVE,2.6,3
13/10/2023 21:15,SEDENTARY,0,0,0,900,480,1697228100,3600,1,SEDENTARY,0,5
13/10/2023 21:30,WALKING,1,9,6.49,900,60,1697229000,3600,1.8801957,ACTIVE,2,2
13/10/2023 21:30,SEDENTARY,0,0,0,900,840,1697229000,3600,1,SEDENTARY,0,5
13/10/2023 21:45,SEDENTARY,0,0,0,900,900,1697229900,3600,1,SEDENTARY,0,4
13/10/2023 22:00,SEDENTARY,0,0,0,900,900,1697230800,3600,1,SEDENTARY,0,3
13/10/2023 22:15,WALKING,1,20,14.41,900,60,1697231700,3600,1.8801957,ACTIVE,2,2
13/10/2023 22:15,SEDENTARY,0,0,0,900,840,1697231700,3600,1,SEDENTARY,0,4
13/10/2023 22:30,SEDENTARY,0,0,0,900,900,1697232600,3600,1,SEDENTARY,0,5
13/10/2023 22:45,WALKING,2,38,27.4,900,60,1697233500,3600,2.7603912,ACTIVE,2,2
13/10/2023 22:45,SEDENTARY,0,0,0,900,840,1697233500,3600,1,SEDENTARY,0,5
13/10/2023 23:00,SEDENTARY,0,0,0,900,900,1697234400,3600,1,SEDENTARY,0,5
13/10/2023 23:15,SEDENTARY,0,0,0,900,900,1697235300,3600,1,SEDENTARY,0,1
13/10/2023 23:30,SEDENTARY,0,0,0,900,900,1697236200,3600,1,SEDENTARY,0,0
13/10/2023 23:45,SEDENTARY,0,0,0,900,900,1697237100,3600,1,SEDENTARY,0,4
14/10/2023 00:00,SEDENTARY,0,0,0,900,900,1697238000,3600,1,SEDENTARY,0,0
14/10/2023 00:15,SEDENTARY,0,0,0,900,900,1697238900,3600,1,SEDENTARY,0,2
14/10/2023 00:30,SEDENTARY,0,0,0,900,900,1697239800,3600,1,SEDENTARY,0,2
14/10/2023 00:45,SEDENTARY,0,0,0,900,900,1697240700,3600,1,SEDENTARY,0,0
14/10/2023 01:00,SEDENTARY,0,0,0,900,900,1697241600,3600,1,SEDENTARY,0,4
14/10/2023 01:15,SEDENTARY,0,0,0,900,900,1697242500,3600,1,SEDENTARY,0,1
14/10/2023 01:30,SEDENTARY,0,0,0,900,900,1697243400,3600,1,SEDENTARY,0,2
14/10/2023 01:45,SEDENTARY,0,0,0,900,900,1697244300,3600,1,SEDENTARY,0,0
14/10/2023 02:00,SEDENTARY,0,0,0,900,900,1697245200,3600,1,SEDENTARY,0,4
14/10/2023 02:15,SEDENTARY,0,0,0,900,900,1697246100,3600,1,SEDENTARY,0,3
14/10/2023 02:30,SEDENTARY,0,0,0,900,900,1697247000,3600,1,SEDENTARY,0,3
14/10/2023 02:45,SEDENTARY,0,0,0,900,900,1697247900,3600,1,SEDENTARY,0,3
14/10/2023 03:00,SEDENTARY,0,0,0,900,900,1697248800,3600,1,SEDENTARY,0,0
14/10/2023 03:15,SEDENTARY,0,0,0,900,900,1697249700,3600,1,SEDENTARY,0,2
14/10/2023 03:30,SEDENTARY,0,0,0,900,900,1697250600,3600,1,SEDENTARY,0,0
14/10/2023 03:45,SEDENTARY,0,0,0,900,900,1697251500,3600,1,SEDENTARY,0,3
14/10/2023 04:00,SEDENTARY,0,0,0,900,900,1697252400,3600,1,SEDENTARY,0,3
